serialno,weight,cut,color,clarity,mine,price,depth,table,x,y,z
AA400219,0.31,Ideal,E,VVS1,EAST,924,61,57,4.33,4.36,2.65
AA600049,0.41,Good,G,VVS1,EAST,986,61,61,4.77,4.8,2.92
AA808903,0.24,Very Good,F,VS2,WEST,419,62.9,58,3.94,4.01,2.5
AA677187,0.43,Ideal,G,VVS1,EAST,1207,61.4,55,4.86,4.91,3
AA697266,0.54,Ideal,G,VVS2,EAST,2090,61.8,56,5.25,5.23,3.24
AA715748,0.53,Ideal,E,VS1,EAST,1928,61.5,57,5.22,5.25,3.22
AA469135,0.46,Ideal,G,IF,SOUTH,1987,61.1,56,5,5.02,3.06
AA595258,1.22,Ideal,E,SI2,SOUTH,6343,62.7,57,6.84,6.81,4.28
AA767190,0.42,Ideal,E,VS2,EAST,958,62.4,55,4.79,4.83,3
AA358563,1.31,Very Good,E,VS2,NORTH,10094,63.1,56,6.95,6.9,4.37
AA268103,1.01,Premium,H,SI1,EAST,4191,58.8,62,6.59,6.54,3.86
AA621072,1.1,Premium,J,SI2,EAST,3216,60,58,6.77,6.66,4.03
AA726850,0.39,Ideal,I,VS1,EAST,1047,62.5,54,4.7,4.67,2.92
AA667402,2.05,Ideal,J,VVS2,NORTH,17214,62.7,56,8.18,8.11,5.11
AA445488,0.41,Very Good,E,SI2,WEST,638,62.8,58,4.69,4.73,2.96
AA487899,0.5,Premium,G,I1,WEST,1020,62.2,59,5.07,5.03,3.14
AA613548,0.38,Ideal,F,VS1,EAST,865,62,54,4.65,4.68,2.89
AA133822,0.9,Good,I,VS2,EAST,3246,63.8,55,6.16,6.07,3.9
AA401441,1.01,Very Good,H,SI1,SOUTH,4432,61.9,57,6.36,6.41,3.95
AA900601,0.91,Ideal,J,VVS2,EAST,3826,60.2,57,6.31,6.34,3.81
AA787662,0.39,Ideal,G,VVS2,EAST,952,62,54.5,4.67,4.7,2.91
AA835678,1.71,Ideal,G,VS1,NORTH,17204,61.4,57,7.72,7.65,4.72
AA837050,1.51,Fair,I,I1,EAST,5750,65.1,57,7.16,7.12,4.65
AA19082,1.09,Ideal,G,VS1,NORTH,8305,60.3,57,6.68,6.73,4.04
AA247413,0.32,Ideal,D,VS2,EAST,972,61.6,56,4.4,4.37,2.7
AA966937,0.33,Premium,E,VVS2,EAST,1114,60.3,58,4.49,4.47,2.7
AA334119,2.2,Good,H,SI2,NORTH,13919,63.6,58,8.21,8.17,5.21
AA962308,1.07,Ideal,D,SI1,NORTH,6587,60.7,57,6.61,6.64,4.02
AA839610,1.36,Premium,E,SI2,NORTH,7677,61.1,58,7.21,7.13,4.38
AA513658,0.31,Very Good,H,SI1,WEST,446,59,57,4.4,4.44,2.61
AA115689,0.54,Ideal,G,SI1,EAST,1736,61.9,55,5.24,5.26,3.25
AA262613,0.3,Very Good,D,SI1,EAST,709,63.2,56,4.27,4.24,2.69
AA62250,2.04,Very Good,G,SI2,NORTH,15092,61.4,58,8.04,8.11,4.96
AA368733,1.29,Fair,F,SI2,EAST,4824,64.4,57,6.85,6.79,4.39
AA29574,1,Very Good,E,SI2,SOUTH,4704,63.5,56,6.38,6.31,4.03
AA806147,1.51,Premium,E,VS2,NORTH,14482,59.8,58,7.55,7.52,4.47
AA377146,1,Good,E,VS2,NORTH,6776,63.1,56,6.37,6.41,4.03
AA893164,0.38,Ideal,G,SI1,WEST,710,61.6,54,4.68,4.71,2.89
AA615647,0.42,Very Good,F,VVS1,EAST,1154,63,59,4.75,4.81,3.01
AA680564,0.4,Ideal,I,SI2,WEST,484,61,58,4.74,4.77,2.9
AA846340,1.52,Very Good,F,SI1,NORTH,11776,61.4,59,7.39,7.46,4.56
AA698896,1.14,Ideal,H,SI2,EAST,4788,62.6,57,6.72,6.63,4.18
AA197661,0.32,Ideal,H,VS1,WEST,720,61.1,56,4.46,4.44,2.72
AA292129,0.92,Premium,F,SI1,EAST,3910,62,60,6.26,6.19,3.86
AA269975,0.33,Ideal,E,VS2,EAST,928,62.3,56,4.47,4.46,2.78
AA591766,0.73,Ideal,I,VS1,EAST,2596,61.6,55,5.77,5.79,3.56
AA760800,1.01,Premium,G,SI1,SOUTH,4672,62.9,61,6.4,6.36,4.01
AA315752,1.4,Premium,H,SI1,NORTH,8223,62.4,57,7.19,7.11,4.46
AA463964,0.38,Premium,E,VS1,EAST,1069,61.5,58,4.69,4.64,2.87
AA500538,0.41,Fair,G,VVS2,WEST,833,64.7,56,4.68,4.72,3.04
AA522961,0.31,Ideal,G,IF,EAST,891,62.1,54,4.37,4.39,2.72
AA950505,0.3,Very Good,I,SI1,WEST,394,61.6,59,4.29,4.34,2.66
AA693035,1.21,Premium,F,SI1,NORTH,7257,61.6,59,6.82,6.79,4.19
AA376313,0.76,Ideal,D,VS1,NORTH,4243,62,56,5.84,5.87,3.63
AA189788,0.5,Premium,D,SI1,EAST,1436,62.4,60,5.07,5.09,3.17
AA714700,1.01,Very Good,E,SI1,SOUTH,5229,62.4,58,6.36,6.4,3.99
AA652502,0.75,Very Good,F,SI1,EAST,2463,60.6,60,5.88,5.91,3.57
AA745365,0.54,Ideal,G,VVS2,EAST,2090,61.4,55,5.3,5.22,3.23
AA213425,0.72,Ideal,H,VS2,EAST,2548,62.3,52,5.76,5.82,3.61
AA15016,1.22,Premium,E,VVS1,NORTH,13824,61.1,60,6.87,6.85,4.19
AA996275,0.41,Ideal,F,VS1,EAST,1076,60.6,57,4.84,4.79,2.92
AA479134,0.33,Ideal,E,VS2,EAST,928,62.6,57,4.42,4.37,2.75
AA51138,1.2,Good,I,SI1,SOUTH,5211,63.9,56,6.62,6.69,4.25
AA159049,0.7,Good,I,VS1,EAST,2274,63.2,55,5.58,5.63,3.54
AA935258,1.02,Very Good,J,SI2,EAST,3601,61.1,61,6.44,6.5,3.95
AA52820,0.27,Very Good,F,VVS2,EAST,591,60.8,59,4.17,4.19,2.54
AA394886,0.26,Premium,E,VVS1,EAST,635,60.9,59,4.09,4.12,2.5
AA763335,0.41,Good,G,SI2,WEST,611,63.4,58,4.7,4.73,2.99
AA887058,0.33,Ideal,F,VVS1,EAST,932,61.4,57,4.49,4.47,2.75
AA634643,0.5,Good,E,VS2,EAST,1407,63.3,56,5.11,5.03,3.21
AA477516,0.39,Ideal,G,VS1,WEST,752,61.3,56,4.68,4.71,2.88
AA300996,0.81,Fair,F,SI2,WEST,2301,68.8,79,5.26,5.2,3.58
AA624647,0.5,Very Good,E,SI2,EAST,1181,63.1,58,5.09,5.05,3.2
AA386172,1.52,Ideal,E,VS2,NORTH,15348,62.4,55,7.32,7.42,4.6
AA178557,0.3,Good,J,VS1,WEST,394,63.4,57,4.23,4.26,2.69
AA678189,1.26,Ideal,J,VS1,SOUTH,6332,62.2,58,6.88,6.92,4.29
AA461410,1,Ideal,E,SI1,SOUTH,5629,60.1,62,6.46,6.48,3.89
AA129591,0.38,Ideal,G,VVS2,EAST,929,62.3,53.6,4.65,4.67,2.9
AA525087,1.57,Ideal,E,SI2,NORTH,10362,61.4,56,7.44,7.52,4.59
AA393206,0.71,Very Good,E,VS1,EAST,3009,63.7,58,5.63,5.68,3.6
AA189605,0.49,Good,F,VS1,EAST,1430,58.9,60.5,5.17,5.21,3.05
AA607082,1.01,Premium,F,SI1,SOUTH,5345,60.6,59,6.52,6.49,3.94
AA32049,1.04,Premium,H,SI1,SOUTH,5179,60.7,58,6.55,6.53,3.97
AA613440,0.57,Ideal,G,SI1,EAST,1441,62.2,55,5.33,5.35,3.32
AA616422,1.51,Ideal,I,VS2,NORTH,9352,61.6,57,7.34,7.28,4.5
AA616245,0.63,Good,F,VS1,EAST,2188,61.6,60.7,5.46,5.52,3.38
AA472296,0.31,Premium,G,VVS2,EAST,707,60.5,58,4.39,4.43,2.67
AA949155,1.5,Good,I,VVS2,NORTH,8732,65.4,59,7.09,7.14,4.65
AA111839,0.9,Very Good,I,VVS1,SOUTH,4099,61.3,59,6.17,6.2,3.79
AA385361,0.3,Ideal,G,VS1,EAST,776,62.8,57,4.29,4.25,2.68
AA827107,0.41,Good,J,IF,EAST,1061,63.6,54,4.75,4.72,3.01
AA393484,1.2,Good,E,SI1,NORTH,7096,64,61,6.67,6.61,4.25
AA910119,0.4,Very Good,G,SI2,WEST,596,61.9,61,4.69,4.74,2.92
AA459228,0.33,Ideal,E,VS2,EAST,682,62.4,54,4.44,4.47,2.78
AA391862,1.25,Ideal,F,VS1,NORTH,7840,62.4,57,6.9,6.83,4.29
AA562632,0.5,Ideal,F,VS2,EAST,1581,62,56,5.07,5.11,3.15
AA215825,0.5,Good,F,VS1,EAST,1390,56.4,62,5.31,5.22,2.97
AA877554,1,Good,G,SI1,EAST,4218,63.9,58,6.26,6.32,4.02
AA850765,0.37,Ideal,D,VVS2,EAST,983,60.5,57,4.65,4.68,2.82
AA336381,0.7,Good,F,SI2,EAST,1851,64.1,55,5.58,5.52,3.56
AA565580,0.39,Premium,E,VS2,EAST,1121,60.9,60,4.71,4.68,2.86
AA323725,0.72,Ideal,F,SI2,EAST,2298,61.7,55,5.79,5.75,3.56
AA646291,0.83,Very Good,F,SI2,EAST,2939,61.9,56,5.99,6.02,3.72
AA957194,0.3,Premium,G,VS1,EAST,776,60.3,62,4.33,4.3,2.6
AA583033,0.91,Very Good,I,VS2,EAST,3340,63,58,6.07,6.15,3.85
AA96382,1.19,Very Good,F,SI2,SOUTH,5622,58.8,60,6.93,6.98,4.09
AA748044,0.31,Ideal,H,VVS1,EAST,907,62.2,56,4.37,4.34,2.71
AA779287,0.5,Good,G,SI2,EAST,1107,63.8,57,5.02,4.98,3.19
AA198308,0.38,Very Good,F,VS2,EAST,906,61.9,54.6,4.64,4.68,2.89
AA389308,0.28,Very Good,E,VVS2,WEST,608,58.7,60,4.31,4.34,2.54
AA406128,0.54,Ideal,G,VS1,EAST,1868,61.4,55,5.26,5.3,3.24
AA311675,0.56,Ideal,E,VS1,EAST,2117,61.8,55,5.33,5.28,3.28
AA29395,0.4,Premium,D,SI2,WEST,666,62.2,58,4.71,4.75,2.94
AA360274,0.31,Premium,I,VS2,WEST,435,61.1,58,4.36,4.38,2.67
AA798696,1.1,Ideal,F,VVS2,NORTH,9343,61.2,56,6.71,6.64,4.08
AA662070,0.5,Ideal,D,VS2,EAST,1845,62.5,54,5.09,5.05,3.17
AA766506,0.4,Ideal,F,VVS1,EAST,1323,60.7,56,4.79,4.77,2.9
AA277244,1.1,Ideal,F,VVS1,NORTH,10861,62.7,57,6.57,6.63,4.14
AA485232,0.51,Premium,G,VVS1,EAST,2027,60.2,58,5.24,5.2,3.14
AA690134,0.74,Good,G,SI1,EAST,1865,64.2,59,5.69,5.62,3.63
AA63237,1.01,Good,G,SI1,EAST,4064,63.1,55,6.31,6.33,3.99
AA506825,1.2,Ideal,H,SI1,NORTH,6518,62.1,56,6.83,6.76,4.22
AA592731,2.21,Very Good,F,SI2,NORTH,18483,61,58,8.36,8.43,5.12
AA840087,0.72,Very Good,F,SI2,EAST,2126,58.5,60,5.86,5.93,3.45
AA381769,1.08,Ideal,F,VS2,NORTH,7923,61,57,6.68,6.61,4.06
AA614436,2,Very Good,I,VS2,NORTH,15510,59.5,62,8.13,8.21,4.86
AA368730,0.27,Premium,E,VS1,WEST,603,61.5,58,4.22,4.17,2.58
AA977865,0.42,Premium,H,VS1,WEST,847,61.7,59,4.76,4.83,2.96
AA999255,0.54,Very Good,I,SI2,WEST,1105,62.9,57,5.18,5.21,3.27
AA547429,0.34,Ideal,D,VS2,EAST,1033,62,54,4.52,4.48,2.79
AA927287,0.5,Premium,E,VS2,EAST,1920,60.3,58,5.15,5.13,3.1
AA830058,0.57,Premium,G,VS2,EAST,1608,59.7,59,5.37,5.41,3.22
AA890114,1.16,Ideal,H,SI2,SOUTH,5509,61.1,56,6.78,6.79,4.15
AA144471,0.36,Ideal,F,VS2,EAST,786,60.5,57,4.61,4.65,2.8
AA164571,0.39,Good,F,VS1,WEST,847,62.8,61,4.63,4.67,2.92
AA185325,0.53,Ideal,E,SI1,EAST,1607,61.8,56,5.21,5.17,3.21
AA175271,0.43,Premium,F,VS2,WEST,968,61,57,4.87,4.84,2.96
AA280959,0.7,Ideal,D,VS1,SOUTH,3287,62.5,57,5.64,5.68,3.54
AA663291,0.32,Very Good,I,VVS1,WEST,589,63,58,4.32,4.38,2.74
AA600446,1.73,Good,E,I1,SOUTH,8220,63.6,59,7.56,7.6,4.82
AA588864,1.27,Ideal,H,SI1,NORTH,7297,59.8,57,7.08,7.01,4.22
AA656861,1.7,Ideal,J,SI2,SOUTH,7464,62,53,7.68,7.65,4.75
AA586636,0.9,Very Good,J,VVS1,EAST,3746,60.4,60,6.23,6.28,3.78
AA38222,0.59,Ideal,D,SI1,EAST,1684,62.1,56,5.36,5.4,3.34
AA790587,0.71,Very Good,I,VVS1,EAST,2572,63.4,57,5.71,5.67,3.61
AA67968,1.7,Very Good,J,VS2,SOUTH,7730,63.2,58,7.56,7.5,4.76
AA291894,0.3,Premium,G,VS1,EAST,776,61.8,59,4.37,4.34,2.69
AA15363,0.5,Premium,H,SI2,WEST,1024,62.6,61,5.06,5.03,3.1
AA530424,1.02,Premium,G,VS2,SOUTH,5250,61.5,59,6.4,6.45,3.95
AA588618,0.3,Ideal,F,SI1,WEST,641,62.9,57,4.27,4.25,2.68
AA86796,0.28,Very Good,E,VVS2,WEST,642,60,56,4.26,4.28,2.56
AA770934,0.73,Fair,F,VS1,EAST,3002,58.6,66,5.92,5.88,3.46
AA211308,0.96,Premium,E,SI1,SOUTH,4864,60,60,6.44,6.39,3.85
AA826345,1.51,Premium,G,SI1,NORTH,10267,60.6,60,7.45,7.41,4.5
AA702246,0.52,Ideal,E,SI2,EAST,1290,62.9,56,5.12,5.08,3.21
AA708578,0.32,Ideal,H,VS2,WEST,523,61.5,55,4.41,4.44,2.72
AA883885,0.34,Very Good,F,VS2,WEST,730,62.5,57.5,4.4,4.45,2.77
AA567897,1.15,Premium,G,VS2,NORTH,6955,62.9,58,6.7,6.62,4.19
AA470079,0.5,Very Good,E,SI1,EAST,1415,63.3,59,5.03,4.99,3.17
AA249927,1.12,Ideal,H,SI2,SOUTH,5178,62.4,54,6.65,6.68,4.16
AA383003,0.7,Very Good,E,SI1,EAST,2753,61.2,57,5.68,5.73,3.49
AA153258,0.7,Good,I,VS1,EAST,2443,61.1,61,5.65,5.7,3.47
AA212840,0.4,Premium,G,IF,EAST,1333,60.8,58,4.73,4.77,2.89
AA575770,1.51,Good,G,IF,NORTH,14654,62.8,60,7.18,7.24,4.53
AA906353,1.46,Very Good,I,SI1,SOUTH,7387,62.8,57,7.13,7.21,4.5
AA469039,0.54,Very Good,D,SI1,EAST,1662,62.9,57,5.17,5.22,3.27
AA716243,0.44,Ideal,E,VVS1,EAST,1438,59.9,57,4.93,4.97,2.96
AA849757,2.5,Fair,H,SI2,SOUTH,13278,64.9,58,8.46,8.43,5.48
AA635050,0.39,Good,D,VVS2,EAST,1255,63.6,60.2,4.58,4.62,2.93
AA187116,0.71,Ideal,E,SI2,EAST,2340,58.7,57,5.89,5.86,3.44
AA681545,0.93,Good,J,VS2,EAST,3000,63.6,61,6.16,6.08,3.89
AA662733,1.2,Premium,E,VS2,NORTH,8279,62,59,6.78,6.71,4.18
AA566417,0.58,Very Good,D,VS2,EAST,1750,61,58,5.37,5.42,3.29
AA332814,1.02,Fair,D,SI1,SOUTH,4798,66.4,60,6.29,6.21,4.15
AA669966,0.62,Very Good,H,VS2,EAST,1734,61.8,57,5.47,5.5,3.39
AA246166,0.38,Very Good,H,VS2,WEST,700,63,56,4.57,4.61,2.89
AA907799,0.34,Good,I,SI1,WEST,447,63.7,54,4.43,4.48,2.84
AA149609,1.54,Good,J,SI1,SOUTH,7349,62.9,62,7.3,7.36,4.61
AA391849,0.43,Ideal,G,VVS2,EAST,1056,61.9,55,4.84,4.86,3
AA919272,0.33,Very Good,G,VS2,WEST,579,62.6,58,4.36,4.4,2.74
AA280928,0.8,Very Good,G,VS1,SOUTH,3673,62.7,56,5.9,5.94,3.71
AA467605,0.4,Ideal,D,SI1,WEST,741,62.5,55,4.71,4.73,2.95
AA391632,1.01,Premium,G,VS1,NORTH,6499,62.6,59,6.38,6.46,4.02
AA730273,1.68,Ideal,E,SI2,NORTH,11781,60.4,55,7.7,7.79,4.68
AA634245,0.85,Fair,G,VS1,EAST,2998,57.7,67,6.26,6.19,3.59
AA172923,0.53,Premium,I,VVS1,EAST,1607,63,56,5.19,5.13,3.25
AA810472,0.3,Ideal,G,SI1,WEST,432,62.3,56,4.29,4.32,2.68
AA891160,1.51,Good,D,SI2,NORTH,8742,61.5,61,7.37,7.42,4.55
AA626804,0.31,Ideal,D,VS2,EAST,942,61.6,57,4.38,4.36,2.69
AA718602,0.5,Ideal,E,SI1,EAST,1250,60.6,57,5.19,5.14,3.13
AA666591,0.31,Ideal,H,VS2,WEST,628,63,57,4.34,4.32,2.73
AA789450,0.36,Ideal,H,SI1,WEST,505,61.5,57,4.57,4.6,2.82
AA58118,0.32,Ideal,E,VS2,EAST,900,62,55,4.41,4.39,2.73
AA851973,1.5,Fair,F,SI2,SOUTH,7056,65.3,57,7.15,7.09,4.65
AA37723,0.73,Ideal,E,VS1,SOUTH,3235,62.5,57,5.73,5.76,3.59
AA520708,0.4,Very Good,D,VS1,EAST,963,63.2,60,4.65,4.69,2.95
AA915944,0.51,Ideal,F,SI1,EAST,1406,62.9,56,5.1,5.05,3.19
AA193925,0.31,Very Good,F,VS2,WEST,500,62.7,57,4.31,4.36,2.72
AA315707,0.33,Very Good,D,SI1,WEST,608,60,59,4.47,4.5,2.69
AA428411,1.51,Premium,I,SI1,NORTH,9344,61.7,60,7.31,7.27,4.5
AA238282,1.53,Premium,H,VS2,NORTH,11087,60.1,58,7.6,7.57,4.71
AA38203,1.7,Premium,F,VS1,NORTH,18430,60.6,58,7.68,7.71,4.66
AA854698,0.55,Ideal,E,SI1,EAST,1448,60.9,56,5.28,5.32,3.23
AA645962,1.14,Ideal,J,SI1,SOUTH,5174,61.5,56,6.7,6.74,4.13
AA788164,1,Very Good,G,VVS2,NORTH,7950,62.7,57,6.32,6.37,3.98
AA688433,0.26,Very Good,E,VS2,WEST,453,63.2,56,4.06,4.1,2.58
AA530374,0.39,Premium,G,SI2,WEST,746,62.7,54,4.71,4.64,2.93
AA457225,0.36,Ideal,E,VS2,EAST,1013,61.2,56,4.63,4.59,2.82
AA499177,1.26,Ideal,J,SI2,EAST,4742,62.5,53,6.9,6.86,4.3
AA372714,1.12,Very Good,G,SI1,SOUTH,5088,62.5,58,6.6,6.64,4.14
AA821720,1.01,Premium,H,SI1,EAST,3224,62.9,58,6.38,6.34,4
AA593107,0.32,Ideal,G,IF,EAST,918,60.9,57,4.41,4.46,2.7
AA171104,0.31,Ideal,F,VS2,EAST,757,61.6,55,4.38,4.39,2.7
AA50627,0.31,Good,G,VS2,WEST,507,57.6,62,4.46,4.5,2.58
AA620968,1.57,Premium,G,SI1,NORTH,10914,59.2,59,7.6,7.68,4.52
AA605126,1.01,Premium,F,VS2,NORTH,6533,62.2,60,6.4,6.37,3.97
AA669530,0.37,Premium,H,SI1,WEST,666,63,58,4.59,4.55,2.88
AA799936,1.07,Fair,G,I1,WEST,2375,64.8,56,6.53,6.43,4.2
AA341431,2.03,Premium,G,VS2,NORTH,18166,60.9,59,8.17,8.14,4.97
AA757776,1.01,Premium,G,SI1,SOUTH,5139,62.3,59,6.38,6.3,3.95
AA18107,1.56,Premium,J,VS1,SOUTH,8324,61.1,59,7.49,7.52,4.58
AA277754,1.1,Premium,G,VS1,NORTH,7399,58.4,60,6.85,6.81,3.99
AA164728,0.57,Ideal,G,VS2,EAST,1728,61.8,57,5.32,5.3,3.28
AA613,0.37,Ideal,D,VS2,WEST,763,62.3,55,4.59,4.62,2.87
AA138140,0.45,Good,D,VS2,EAST,1197,63.7,61,4.81,4.73,3.04
AA901289,0.31,Ideal,F,VVS1,EAST,840,61.4,56,4.37,4.4,2.69
AA649704,0.34,Ideal,E,VVS1,EAST,1084,62.2,56,4.49,4.45,2.78
AA628252,1.23,Very Good,H,VS2,NORTH,6848,62.4,58,6.8,6.85,4.26
AA432549,1.09,Ideal,G,VS2,NORTH,7292,62.8,57,6.54,6.58,4.12
AA720527,0.31,Good,H,VVS2,EAST,802,63.6,56,4.33,4.28,2.74
AA308158,0.3,Premium,D,VS2,EAST,710,61.9,58,4.28,4.32,2.66
AA170204,1.19,Ideal,H,SI1,SOUTH,6275,62,56.4,6.77,6.81,4.2
AA326168,0.65,Ideal,F,SI1,EAST,1841,61.4,58,5.56,5.5,3.39
AA95291,0.32,Premium,E,VVS1,EAST,1020,60.8,58,4.41,4.38,2.67
AA920962,1.2,Premium,J,VS1,EAST,5107,59.1,61,7,6.94,4.12
AA505150,0.59,Ideal,E,SI1,EAST,1789,62.9,57,5.36,5.33,3.36
AA634458,0.34,Premium,G,VS2,WEST,596,62.4,59,4.41,4.47,2.77
AA411330,0.51,Ideal,I,VS2,WEST,1060,60.6,57,5.16,5.21,3.14
AA244777,1.5,Very Good,J,VS1,NORTH,8896,63.3,57,7.24,7.2,4.57
AA882357,0.5,Ideal,I,SI1,WEST,1008,61.5,54,5.13,5.15,3.16
AA558128,1.53,Premium,H,VS2,NORTH,10224,59.8,58,7.49,7.52,4.49
AA270175,0.6,Ideal,G,VS1,EAST,2091,61.3,60,5.39,5.41,3.31
AA398086,0.4,Very Good,E,VS2,WEST,879,62,60,4.67,4.69,2.9
AA939533,0.27,Ideal,G,VS2,WEST,490,61.6,54,4.17,4.2,2.58
AA302976,0.3,Premium,H,VS1,WEST,675,63,59,4.27,4.21,2.67
AA20128,1.61,Premium,H,SI2,SOUTH,7745,61.4,62,7.54,7.48,4.62
AA208999,1.19,Premium,G,VS2,NORTH,7389,61.9,58,6.86,6.74,4.21
AA554492,0.41,Ideal,F,VVS1,EAST,1295,61.8,55,4.76,4.78,2.95
AA763329,0.34,Premium,E,VS2,EAST,956,61.1,60,4.48,4.45,2.73
AA796324,0.7,Very Good,E,VS1,SOUTH,3154,63.6,57,5.61,5.65,3.58
AA408382,0.72,Ideal,I,VVS2,EAST,2420,62.2,54,5.73,5.78,3.58
AA912883,0.41,Good,G,SI1,WEST,671,63.4,57,4.7,4.73,2.99
AA961210,0.41,Very Good,E,VS1,WEST,954,62.2,58,4.74,4.78,2.96
AA750320,0.28,Very Good,E,VS1,WEST,588,63.1,55,4.18,4.15,2.63
AA484503,0.32,Ideal,D,SI1,EAST,756,61.9,57,4.4,4.36,2.71
AA692814,0.71,Ideal,D,VS1,SOUTH,3518,60.9,57,5.74,5.76,3.5
AA566811,0.23,Very Good,E,VVS1,WEST,530,62.1,58,3.9,3.93,2.43
AA320349,0.44,Premium,E,SI1,WEST,1040,62.9,58,4.88,4.85,3.06
AA588237,0.41,Ideal,F,VS1,EAST,1007,62.7,55,4.74,4.77,2.98
AA950341,1.6,Very Good,E,SI2,NORTH,9900,62,57,7.47,7.54,4.65
AA869118,1.51,Very Good,G,VS1,NORTH,13686,62.5,58,7.23,7.27,4.53
AA839290,0.33,Ideal,G,IF,EAST,925,61,56,4.48,4.51,2.74
AA332739,2.06,Premium,G,SI2,NORTH,15949,59.8,61,8.26,8.22,4.93
AA676225,0.31,Very Good,G,VS1,EAST,749,63.3,57,4.31,4.28,2.72
AA819844,1.5,Good,G,SI1,NORTH,10428,64.2,58,7.14,7.2,4.6
AA123322,1.13,Premium,E,SI2,SOUTH,5316,60.4,59,6.75,6.7,4.06
AA104001,1.5,Fair,I,I1,EAST,4704,66.1,57,7.12,7.04,4.68
AA502883,0.31,Premium,F,SI1,EAST,663,62.7,58,4.33,4.31,2.71
AA451399,1,Fair,G,VS2,SOUTH,4838,66.1,61,6.08,5.99,3.99
AA850934,0.37,Ideal,F,VVS1,EAST,1049,62,55,4.6,4.63,2.86
AA62467,1.02,Premium,G,SI1,EAST,4435,62.2,58,6.44,6.48,4.02
AA474859,2.01,Very Good,H,SI2,NORTH,14150,63.2,57,8.02,7.97,5.05
AA399364,1,Premium,G,SI1,SOUTH,4956,63,59,6.44,6.32,4.02
AA480865,1.55,Premium,H,VS2,NORTH,11738,60.7,59,7.46,7.5,4.54
AA566662,0.5,Ideal,E,VS2,EAST,1746,61.4,57,5.11,5.08,3.13
AA60322,0.47,Good,F,VS1,EAST,1353,64,60,4.96,4.87,3.15
AA205358,0.51,Very Good,F,VVS2,EAST,2054,60.8,56,5.18,5.21,3.16
AA467981,1.41,Good,D,SI2,SOUTH,7501,63.9,60,7.08,7,4.5
AA450064,1.21,Fair,J,SI1,EAST,4147,65,59,6.64,6.57,4.29
AA175557,0.33,Ideal,F,VS1,WEST,738,61.2,57,4.46,4.49,2.74
AA98728,2.19,Very Good,I,SI1,NORTH,16397,60.7,60,8.46,8.4,5.12
AA486283,0.31,Ideal,H,IF,EAST,789,62.2,54,4.38,4.4,2.73
AA804053,0.5,Very Good,G,VVS1,EAST,1887,59.6,63,5.11,5.16,3.06
AA601773,0.91,Premium,D,SI1,SOUTH,4663,59,61,6.35,6.29,3.73
AA782070,1.01,Ideal,G,VVS2,NORTH,8662,61.6,54,6.51,6.55,4.02
AA147098,0.7,Fair,F,VS1,EAST,2399,55.9,62,5.94,5.83,3.29
AA796813,0.55,Ideal,F,VS2,EAST,1819,61.1,57,5.3,5.27,3.23
AA339173,0.56,Ideal,D,VS1,EAST,1924,61.7,56,5.3,5.33,3.28
AA140757,0.72,Premium,D,SI2,EAST,2484,60.3,58,5.81,5.76,3.49
AA56256,0.31,Premium,H,VVS2,EAST,802,62.3,60,4.36,4.31,2.7
AA154380,0.4,Very Good,E,VVS1,EAST,1217,60,58,4.77,4.8,2.87
AA259594,1.06,Ideal,I,SI1,EAST,4313,62.2,56,6.49,6.53,4.05
AA433600,1.7,Very Good,H,VS2,NORTH,12228,63.3,57,7.59,7.54,4.79
AA44748,0.52,Ideal,E,VS2,EAST,1815,62.2,56,5.15,5.11,3.19
AA212128,0.55,Ideal,G,SI1,EAST,1605,61.7,55,5.25,5.28,3.25
AA995217,0.71,Ideal,D,VS2,SOUTH,3234,61.4,56,5.74,5.79,3.54
AA245359,0.3,Ideal,G,VVS1,EAST,976,61.9,55,4.32,4.34,2.68
AA581359,0.38,Ideal,I,VS1,WEST,703,61.9,54.7,4.63,4.68,2.88
AA553789,1.21,Very Good,H,VS2,NORTH,7113,59.1,59,6.95,6.99,4.12
AA601432,1.08,Premium,D,SI2,SOUTH,5138,62.1,58,6.62,6.59,4.1
AA113707,0.3,Ideal,I,VVS1,EAST,709,61.3,57,4.34,4.31,2.65
AA359939,1.26,Ideal,J,SI2,EAST,4656,62.5,53,6.86,6.9,4.3
AA922315,0.38,Ideal,G,SI1,EAST,855,60.9,56,4.71,4.68,2.86
AA228495,0.55,Ideal,G,VS2,EAST,1833,61.1,57,5.29,5.31,3.24
AA952024,0.4,Ideal,D,VVS2,EAST,1323,62.2,55,4.74,4.72,2.94
AA528384,1.51,Premium,G,SI1,NORTH,11153,62.6,58,7.27,7.3,4.56
AA189986,0.3,Ideal,E,VS2,EAST,658,61.5,55,4.29,4.33,2.65
AA811995,1.51,Ideal,H,VS2,NORTH,11540,60.6,57,7.46,7.45,4.52
AA410986,1.51,Premium,G,VS2,NORTH,13828,61.1,58,7.42,7.38,4.45
AA834268,2.31,Premium,J,VVS1,NORTH,16100,62.1,58,8.49,8.42,5.25
AA898206,0.32,Premium,E,SI2,WEST,449,59.7,60,4.43,4.45,2.65
AA9740,0.51,Very Good,E,VVS2,EAST,2062,60,58,5.19,5.21,3.12
AA390220,1.58,Premium,I,I1,EAST,4459,60.2,61,7.55,7.51,4.53
